bs	total_batch	exit_code	status	avg_tok_sec	avg_dt_ms	avg_bf16_mfu	peak_mem_mib	max_aicore	max_hbm_mib	log
16	32768	0	OK	78935.40	415.12	21.88	30139.92	56	35130	docs/probe_seq2048_bs16_20260316_165908.log
20	40960	0	OK	80058.40	511.63	22.19	37120.49	45	42578	docs/probe_seq2048_bs20_20260316_165908.log
24	49152	0	OK	80293.80	612.15	22.26	44118.03	42	50043	docs/probe_seq2048_bs24_20260316_165908.log
28	57344	0	OK	80224.60	714.79	22.24	51104.09	61	57634	docs/probe_seq2048_bs28_20260316_165908.log
30	61440	0	OK	80311.40	765.02	22.26	54588.63	45	61412	docs/probe_seq2048_bs30_20260316_165908.log
